"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This method will create  a user","SUCCESS","2023-01-10T23:24:14.965Z[Europe/London]","0.0","10.17"
"User CRUD test","This method will verify that user is created","FAILURE","2023-01-10T23:24:25.173Z[Europe/London]","0.0","0.92"
"User CRUD test","This method will update a user and verify that user is created","SUCCESS","2023-01-10T23:24:26.252Z[Europe/London]","0.0","1.91"
"User CRUD test","This method will delete user","FAILURE","2023-01-10T23:24:28.162Z[Europe/London]","0.0","0.88"
