"Story","Title","Result","Date","Stability","Duration (s)"
"Tag test","This test will verify if a status code of 200 is returned for post request","FAILURE","2023-01-10T23:24:14.890Z[Europe/London]","0.0","10.27"
"Tag test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T23:24:25.203Z[Europe/London]","0.0","0.85"
"Tag test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T23:24:26.050Z[Europe/London]","0.0","1.04"
