"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This method will create  a user","SUCCESS","2023-01-10T23:24:14.965Z[Europe/London]","0.0","10.17"
"Tag test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T23:24:25.203Z[Europe/London]","0.0","0.85"
"Data driven user test","Data driven test for create multiple user","SUCCESS","2023-01-10T23:24:25.491Z[Europe/London]","0.0","101.86"
"Tag test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T23:24:26.050Z[Europe/London]","0.0","1.04"
"User CRUD test","This method will update a user and verify that user is created","SUCCESS","2023-01-10T23:24:26.252Z[Europe/London]","0.0","1.91"
"Testing different request on user from Petstore","As a user I want to check that T can create user","SUCCESS","2023-01-10T23:24:14.926Z[Europe/London]","0.0","10.18"
"Testing different request on user from Petstore","As a user I want to updaet user","SUCCESS","2023-01-10T23:24:27.708Z[Europe/London]","0.0","0.91"
"Testing different request on user from Petstore","As a user I want to delete the user","SUCCESS","2023-01-10T23:24:28.639Z[Europe/London]","0.0","2.49"
"Pet store CRUD Test","CRUD Test","SUCCESS","2023-01-10T23:24:31.152Z[Europe/London]","0.0","3.68"
