"Story","Title","Result","Date","Stability","Duration (s)"
"Tag test","This test will verify if a status code of 200 is returned for post request","FAILURE","2023-01-10T23:24:14.890Z[Europe/London]","0.0","10.27"
"User CRUD test","This method will verify that user is created","FAILURE","2023-01-10T23:24:25.173Z[Europe/London]","0.0","0.92"
"User CRUD test","This method will delete user","FAILURE","2023-01-10T23:24:28.162Z[Europe/London]","0.0","0.88"
"Testing different request on user from Petstore","As a user I want to check that user is created","FAILURE","2023-01-10T23:24:26.649Z[Europe/London]","0.0","0.93"
