"Story","Title","Result","Date","Stability","Duration (s)"
"Tag test","This test will verify if a status code of 200 is returned for post request","FAILURE","2023-01-10T23:24:14.890Z[Europe/London]","0.0","10.27"
"User CRUD test","This method will create  a user","SUCCESS","2023-01-10T23:24:14.965Z[Europe/London]","0.0","10.17"
"User CRUD test","This method will verify that user is created","FAILURE","2023-01-10T23:24:25.173Z[Europe/London]","0.0","0.92"
"Tag test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T23:24:25.203Z[Europe/London]","0.0","0.85"
"Data driven user test","Data driven test for create multiple user","SUCCESS","2023-01-10T23:24:25.491Z[Europe/London]","0.0","101.86"
"Tag test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T23:24:26.050Z[Europe/London]","0.0","1.04"
"User CRUD test","This method will update a user and verify that user is created","SUCCESS","2023-01-10T23:24:26.252Z[Europe/London]","0.0","1.91"
"User CRUD test","This method will delete user","FAILURE","2023-01-10T23:24:28.162Z[Europe/London]","0.0","0.88"
